,ci,lum,tem,logl
20732,0.932,23.6374160811629,-5405.405405405405,3.1628308837366195
20733,-0.001,27.0146907295725,-18045.112781954886,3.296380819130277
20734,0.797,3.4546177490582,-6015.037593984962,1.2397118140679937
20735,1.021,40.8131391596972,-5066.854327938073,3.7090040677948086
20736,0.04,32.2700768751553,-16363.636363636364,3.474140388309415
20737,1.079,7.19780372802699,-4868.15415821501,1.9737759417144956
20738,-0.098,71.7794291271362,-23841.059602649002,4.2735979325969495
20739,0.503,1.73460262787929,-7973.421926910299,0.5507783542441779
20740,1.075,40.7380277804113,-4881.35593220339,3.707161999720414
20741,0.87,0.440960816450638,-5669.291338582677,-0.8187992590686819
20742,0.083,10.5099342718622,-14906.832298136645,2.35232093100272
20743,0.408,4.45861527948071,-8910.89108910891,1.4948382423717352
20744,0.195,71.318138667974,-12100.840336134454,4.267150694336565
20745,0.558,45.7509377329848,-7515.657620041753,3.8232122884073143
20746,0.023,18.724058959868,-17021.27659574468,2.9298092723256244
20747,0.346,6.24597152533276,-9651.4745308311,1.8319366999860636
20748,0.375,8.83079900418563,-9290.322580645161,2.1782454979723673
20749,0.711,1.41905752168909,-6480.648064806481,0.34999293413509336
20750,1.27,97.0957006528825,-4311.377245508982,4.575697096797768
20751,0.752,5.23359365186758,-6249.999999999999,1.6550981648441199
20752,0.453,57.0164272280748,-8440.797186400938,4.043339423297545
20753,0.049,126.94044019618,-16035.634743875278,4.843718001622272
20754,0.506,31.2751931140798,-7947.019867549669,3.4428252310446963
20755,0.566,6.94384471240982,-7453.416149068324,1.937855614263789
20756,0.56,2.64240875732195,-7499.999999999999,0.9716909092434887
20757,1.09,43.5712480503084,-4832.214765100671,3.7743974844358394
20758,1.0,0.936698877952116,-5142.857142857143,-0.06539341664103103
20759,0.808,0.57916192108312,-5960.2649006622505,-0.5461731840581869
20760,0.591,6.08695372334901,-7265.388496468214,1.8061477469445293
20761,0.516,3.26287172143085,-7860.2620087336245,1.1826077037617417
20762,1.012,20.9314830344745,-5099.15014164306,3.0412543908265364
20763,0.529,2857590.54337495,-7750.2691065662,14.86548936036956
20764,0.537,2.09122133015529,-7684.098185699039,0.7377482637952935
20765,0.24,29.8950992781459,-11250.0,3.397694563222015
20766,0.325,8.11334605228263,-9931.03448275862,2.093510366550186
20767,1.071,3311311.21482591,-4894.629503738953,15.012854806321178
20768,0.466,9.38425931237018,-8314.087759815242,2.23903374442741
20769,0.729,58.8301559988882,-6377.32506643047,4.074654580562262
20770,1.658,3767037.98983909,-3498.542274052478,15.141799571528844
20771,0.715,1.62330452776546,-6457.399103139013,0.4844639035659476
20772,0.236,17.7500671350065,-11320.754716981131,2.8763892981681596
20773,0.785,123.253709820334,-6075.949367088608,4.814244912431946
20774,0.56,1.89670592121115,-7499.999999999999,0.6401186558523466
20775,1.005,53.0640019194775,-5124.555160142349,3.9714987683961303
20776,0.929,0.389403633879717,-5417.607223476297,-0.9431388540903618
20777,1.068,145.747126125653,-4904.632152588556,4.981873107201918
20778,1.008,180.967255478879,-5113.636363636364,5.198316105943357
20779,0.442,7.39264752656227,-8551.068883610451,2.000485928793227
20780,0.511,0.61887081141903,-7903.402854006586,-0.4798587333799591
20781,0.609,7.82708409590611,-7135.77799801784,2.0575900390994786
20782,0.562,15.2756605823807,-7484.407484407484,2.7262607501049483
20783,0.894,0.270395836410884,-5564.142194744976,-1.3078683328206193
20784,0.03,47.1194269420276,-16744.186046511626,3.8526853775976373
20785,0.505,17.6197604641163,-7955.8011049723755,2.8690210258705813
